Invoice Number,Invoice Date,Driver Number,Item Number,Description,Cost,Quantity,Item Total,Subtotal,HST,Total
1,2023-01-15,1922,101,Office Supplies,50.00,2,100.00,100.00,13.00,113.00
2,2023-02-05,1923,102,Vehicle Maintenance,150.00,1,150.00,150.00,19.50,169.50
3,2023-03-20,1922,103,Advertising,200.00,1,200.00,200.00,26.00,226.00
4,2023-04-10,1924,104,Gasoline,80.00,3,240.00,240.00,31.20,271.20
5,2023-05-25,1923,105,Insurance Premium,300.00,1,300.00,300.00,39.00,339.00
6,2023-06-15,1925,106,Repairs,120.00,2,240.00,240.00,31.20,271.20
7,2023-07-02,1924,107,Car Wash,20.00,4,80.00,320.00,41.60,361.60
8,2023-08-10,1926,108,Software License,60.00,1,60.00,60.00,7.80,67.80
9,2023-09-18,1925,109,Fuel,90.00,3,270.00,510.00,66.30,576.30
10,2023-10-05,1926,110,Office Furniture,250.00,1,250.00,760.00,98.80,858.80
11,2023-11-12,1927,111,Marketing Materials,180.00,2,360.00,1120.00,145.60,1265.60
12,2023-12-25,1927,112,Website Hosting,100.00,1,100.00,1220.00,158.60,1378.60
13,2024-01-10,1928,113,Training Expenses,75.00,2,150.00,1370.00,178.20,1548.20
14,2024-02-14,1929,114,Internet Service,40.00,1,40.00,1410.00,183.30,1593.30
15,2024-03-30,1930,115,Printing Services,90.00,3,270.00,1680.00,218.40,1908.40
16,2024-04-05,1931,116,Hardware Upgrades,200.00,1,200.00,1880.00,244.40,2124.40
17,2024-05-20,1932,117,Consulting Fees,300.00,2,600.00,2480.00,322.40,2802.40
18,2024-06-08,1933,118,Business Travel,150.00,1,150.00,2630.00,342.90,2972.90
19,2024-07-15,1934,119,Professional Development,80.00,2,160.00,2790.00,363.70,3153.70
20,2024-08-01,1935,120,Office Rent,500.00,1,500.00,3290.00,427.70,3717.70
