Transaction ID,Date,Description,Driver Number,Amount,HST,Total
1,2023-01-05,Passenger Fare,1922,350.00,45.50,395.50
2,2023-02-10,Package Delivery,1923,200.00,26.00,226.00
3,2023-03-25,Passenger Fare,1922,420.00,54.60,474.60
4,2023-04-15,Food Delivery,1924,120.00,15.60,135.60
5,2023-05-30,Passenger Fare,1923,390.00,50.70,440.70
6,2023-06-20,Package Delivery,1925,220.00,28.60,248.60
7,2023-07-12,Passenger Fare,1924,410.00,53.30,463.30
8,2023-08-02,Food Delivery,1926,130.00,16.90,146.90
9,2023-09-15,Passenger Fare,1925,380.00,49.40,429.40
10,2023-10-10,Package Delivery,1926,240.00,31.20,271.20
11,2023-11-28,Passenger Fare,1927,390.00,50.70,440.70
12,2023-12-10,Food Delivery,1927,110.00,14.30,124.30
13,2024-01-22,Passenger Fare,1928,340.00,44.20,384.20
14,2024-02-14,Package Delivery,1929,260.00,33.80,293.80
15,2024-03-05,Passenger Fare,1930,410.00,53.30,463.30
16,2024-04-18,Food Delivery,1931,150.00,19.50,169.50
17,2024-05-01,Passenger Fare,1932,380.00,49.40,429.40
18,2024-06-14,Package Delivery,1933,230.00,29.90,259.90
19,2024-07-02,Passenger Fare,1934,400.00,52.00,452.00
20,2024-08-15,Food Delivery,1935,140.00,18.20,158.20
